name,price_sale,cpu,ram,Màn hình:,Card màn hình:,rom,Kích thước và trọng lượng:,Camera:,Cổng kết nối:,Pin và sạc:,url,website
MacBook Air 2020 13 inch Core i5 1.1GHz 8GB RAM 256GB SSD – Like New,22.300.000 ,1.1GHz quad-core 10th-generation Intel Core i5-1030G7 processor,8GB,"13.3 inch, Retina (2560 x 1600 pixels)",Intel Iris Plus Graphics,256 GB,1.29 kg,720p FaceTime HD,Two Thunderbolt 3 (USB-C),Built-in 49.9‑watt‑hour; 30W USB-C Power Adapter,https://macone.vn/macbook-air-2020-13-inch-core-i5-256gb-8gb-ram-likenew-fullbox/,macone.vn
MacBook Air 2020 13 inch Core i3 1.1Ghz 8GB RAM 256GB SSD – Like New,20.500.000 ,1.1GHz dual-core 10th-generation Intel Core i3-1000G4 processor,8GB,"13.3 inch, Retina (2560 x 1600 pixels)",Intel Iris Plus Graphics,256 GB,1.29 kg,720p FaceTime HD,Two Thunderbolt 3 (USB-C),Built-in 49.9‑watt‑hour; 30W USB-C Power Adapter,https://macone.vn/macbook-air-2020-13-inch-core-i3-256gb-8gb-ram-like-new/,macone.vn
MacBook Air 2020 13 inch Apple M1 8GB RAM 512GB SSD – Like New,26.900.000 ,"Apple M1 chip with 8‑core CPU, 8‑core GPU, and 16‑core Neural Engine",8GB,Retina display with True Tone,8-core GPU,512 GB,2.8 pounds (1.29 kg),720p FaceTime HD camera,Two Thunderbolt 3 ports,Built-in 49.9‑watt‑hour lithium‑polymer battery 30W USB-C Power Adapter,https://macone.vn/macbook-air-2020-13-inch-apple-m1-8gb-ram-512gb-ssd-likenew/,macone.vn
MacBook Air 2020 13 inch Apple M1 8GB RAM 256GB SSD – Like New,23.800.000 ,"Apple M1 chip with 8‑core CPU, 7‑core GPU, and 16‑core Neural Engine",8GB,Retina display with True Tone,7-core GPU,256 GB,2.8 pounds (1.29 kg),720p FaceTime HD camera,Two Thunderbolt 3 ports,Built-in 49.9‑watt‑hour lithium‑polymer battery 30W USB-C Power Adapter,https://macone.vn/macbook-air-2020-13-inch-apple-m1-8gb-ram-256gb-ssd-like-new/,macone.vn
MacBook Air 2020 13 inch Apple M1 16GB RAM 256GB SSD – NEW,30.590.000 ,"Apple M1 chip with 8‑core CPU, 7‑core GPU, and 16‑core Neural Engine",16GB,Retina display with True Tone,7-core GPU,256 GB,2.8 pounds (1.29 kg),720p FaceTime HD camera,Two Thunderbolt 3 ports,Built-in 49.9‑watt‑hour lithium‑polymer battery 30W USB-C Power Adapter,https://macone.vn/macbook-air-2020-13-inch-apple-m1-16gb-ram-256gb-ssd-new/,macone.vn
MacBook Air 2020 13 inch Apple M1 8GB RAM 512GB SSD – NEW,30.390.000 ,"Apple M1 chip with 8‑core CPU, 8‑core GPU, and 16‑core Neural Engine",8GB,Retina display with True Tone,8-core GPU,512 GB,2.8 pounds (1.29 kg),720p FaceTime HD camera,Two Thunderbolt 3 ports,Built-in 49.9‑watt‑hour lithium‑polymer battery 30W USB-C Power Adapter,https://macone.vn/macbook-air-2020-13-inch-apple-m1-8gb-ram-512gb-ssd-new/,macone.vn
MacBook Pro 2018 13 inch (MR9Q2/ MR9U2) Core i5 2.3GHz 8GB RAM 256GB SSD – Like new,23.900.000 ,Intel Core i5 2.3GHz quad-core - 8259U,8GB,"13.3 inch, Retina (2560 x 1600 pixels)",Intel Iris Plus Graphics 655,"SSD, 256 GB",1.37 kg,720p FaceTime HD,4 cổng Thunderbolt 3 ports,58 W h Li-Poly,https://macone.vn/macbook-pro-touch-bar-13-inch-2018-mr9q2-mr9u2-core-i5-256gb-8gb-like-new/,macone.vn
MacBook Pro 2018 15 inch MR942 Core i9 2.9Ghz 32GB RAM 1TB SSD – Like New,42.900.000 ,"2.9GHz 6‑core 8th‑generation Intel Core i9 processor, Turbo Boost up to 4.8GHz",32GB 2400MHz DDR4 memory,"15.4 inch, Retina ( 2880 x 1800 pixels)",Radeon Pro 560X with 4GB of GDDR5 memory,1TB SSD storage,1.83 kg,720p FaceTime HD,4 cổng Thunderbolt 3 ports,83.6 W h Li-Poly,https://macone.vn/macbook-pro-2018-15-inch-mr942-core-i9-2-9ghz-32gb-ram-1tb-ssd-like-new/,macone.vn
Macbook Air 2018 13 inch Core i5 1.6GHz 8GB RAM 256GB SSD – Like New,19.800.000 ,1.6GHz dual-core 8th-generation Intel Core i5. Turbo Boost up to 3.6GHz,8GB 2133MHz LPDDR3,13.3inch Retina,Intel UHD Graphics 617,256GB,,,Two Thunderbolt 3 ports,,https://macone.vn/macbook-air-13-inch-2018-core-i5-256gb-8gb-ram-like-new/,macone.vn
Macbook Pro Retina 13 inch 2017 (MPXQ2/ MPXR2) Core i5 2.3Ghz 8GB RAM 128GB SSD – Like New,20.000.000 ,Intel Core i5 2.3GHz dual-core,8GB,"13.3 inch, Retina (2560 x 1600 pixels)",Intel Iris Plus Graphics 640,"SSD, 128 GB",1.37 kg,720p FaceTime HD,Two Thunderbolt 3 ports,Lithium- polymer,https://macone.vn/macbook-pro-retina-13-inch-2017-mpxq2-mpxr2-core-i5-128gb-8gb-ram-like-new/,macone.vn
MacBook Pro 2018 15 inch (MR942/ MR972) Core i7 2.6Ghz 16GB RAM 512GB SSD – Like New,38.500.000 ,Intel Core i7 2.6 GHz 6-core - 8850H,16GB,"15.4 inch, Retina ( 2880 x 1800 pixels)",AMD Radeon Pro 560X with 4 GB,"SSD, 512 GB",1.83 kg,720p FaceTime HD ,4 cổng Thunderbolt 3 ports,83.6 W h Li-Poly,https://macone.vn/macbook-pro-touch-bar-15-inch-2018-mr942-mr972-core-i7-16gb-512gb-like-new/,macone.vn
MacBook Pro 2018 15 inch (MR932/ MR962) Core i7 2.2GHz 16GB RAM 256GB SSD – Like new,35.900.000 ,2.2GHz 6-core 8th Intel Core i7 processor Turbo Boost up to 4.1GHz,16GB,"15.4 inch, Retina ( 2880 x 1800 pixels)",Radeon Pro 555X with 4GB of GDDR5 memory,"SSD, 256 GB",1.83 kg,720p FaceTime HD,4 cổng Thunderbolt 3 ports,83.6 W h Li-Poly,https://macone.vn/macbook-pro-touch-bar-15-inch-2018-mr932-mr962-core-i7-16gb-256gb-like-new/,macone.vn
MacBook Pro 2018 13 inch (MR9R2/ MR9V2) Core i5 2.3GHz 8GB RAM 512GB SSD – Like new,25.900.000 ,Intel Core i5 2.3GHz quad‑core ,8GB,"13.3 inch, Retina (2560 x 1600 pixels)",Intel Iris Plus Graphics 655,"SSD, 512 GB",1.37 kg,720p FaceTime HD,4 cổng Thunderbolt 3 ports,Lithium- polymer,https://macone.vn/macbook-pro-touch-bar-13-inch-2018-mr9r2-mr9v2-core-i5-512gb-8gb-like-new/,macone.vn
