product_name,price_sale,params_1,ram,gpu,display,params_2,params_3,params_4,params_5,params_6,params_7,params_8,url,website
MF839 – Macbook Pro Retina 2015 13 inch – Core i5/ Ram 8GB/SSD 128GB/New 97%,15.000.000 ,Điểm hiệu năng: 6.17 MS,Ram : 8GB of Onboard 1866 MHz LPDDR3,Integrated Intel Iris Graphics 6100,13.3″ LED-Backlit IPS Retina Display,2560 x 1600 Native Resolution,"802.11a/b/g/n/ac Wi-Fi, Bluetooth 4.0","Thunderbolt 2, USB 3.0, HDMI",Force Touch Trackpad,Mac OS X 10.10 Yosemite,"Bảo hành 6 tháng, đổi trả trong 7 ngày",Miễn phí vận chuyển trên toàn quốc,https://macstores.vn/macbook-pro-retina-mf839-97.html,macstores.vn
Macbook Pro MJLT2 – 2015/15 inch (Core i7/Ram 16GB/SSD 512GB/99%),28.500.000 ,Ổ cứng SSD: 512 GB,RAM: 16 GB 1600MHz DDR3L,Graphics: Integrated Intel Iris Graphics + AMD Radeon R9 M370X with 2GB GDDR5 memory,Màn hình: 15.4″ inch RETINA,Độ Phân Giải : 2880 x 1800,"Cổng Mạng : 802.11ac Wi-Fi, Bluetooth 4.0","Khe Cắm : Thunderbolt 2, USB 3.0, HDMI","Thiết bị nghe nhìn : FaceTime HD Camera, Dual Mics",Force Touch Trackpad,Hệ điều hành : Mac OS X Yosimite,Giảm 20% khi mua phụ kiện túi chống sốc và dán máy,https://macstores.vn/macbook-pro-retina-mjlt2-option-2-8ghz512gb.html,macstores.vn
MJLT2 – Macbook Pro 2015/15 inch (Core i7/Ram 16GB/SSD 1TB/99%),31.000.000 ,Ổ cứng SSD: 1 TB,RAM: 16 GB 1600MHz DDR3L,Graphics: Integrated Intel Iris Graphics + AMD Radeon R9 M370X with 2GB GDDR5 memory,Màn hình: 15.4″ inch RETINA,Độ Phân Giải : 2880 x 1800,"Cổng Mạng : 802.11ac Wi-Fi, Bluetooth 4.0","Khe Cắm : Thunderbolt 2, USB 3.0, HDMI","Thiết bị nghe nhìn : FaceTime HD Camera, Dual Mics",Force Touch Trackpad,Hệ điều hành : Mac OS X Yosimite,Giảm 20% khi mua phụ kiện túi chống sốc và dán máy,https://macstores.vn/macbook-pro-retina-mjlt2-option-2-8ghz1tb.html,macstores.vn
MacBook Pro MLH42 (grey) 99%,33.000.000 ,2.7 GHz Intel Core i7 Quad-Core,16GB of 2133 MHz RAM | 512GB PCIe SSD,AMD Radeon Pro 455 GPU (2GB GDDR5),15.” 2880 x 1800 Retina Display,802.11ac Wi-Fi | Bluetooth 4.2,Touch Bar | Touch ID Sensor,4 x Thunderbolt 3 (USB Type-C) Ports,3.5mm Headphone Jack | Stereo Speakers,Larger Force Touch Trackpad,macOS Sierra,– ,https://macstores.vn/macbook-pro-mlh42-grey-99.html,macstores.vn
MacBook Pro MLH32 (grey) 99%,29.000.000 ,2.6 GHz Intel Core i7 Quad-Core,16GB of 2133 MHz RAM | 256GB PCIe SSD,AMD Radeon Pro 450 GPU (2GB GDDR5),15.4″ 2880 x 1800 Retina Display,802.11ac Wi-Fi | Bluetooth 4.2,Touch Bar | Touch ID Sensor,4 x Thunderbolt 3 (USB Type-C) Ports,3.5mm Headphone Jack | Stereo Speakers,Larger Force Touch Trackpad,macOS Sierra,– ,https://macstores.vn/macbook-pro-mlh32-grey-99.html,macstores.vn
MacBook Pro MLW82 (silver) 99%,33.000.000 ,2.7 GHz Intel Core i7 Quad-Core,16GB of 2133 MHz RAM | 512GB PCIe SSD,AMD Radeon Pro 455 GPU (2GB GDDR5),15.4″ 2880 x 1800 Retina Display,802.11ac Wi-Fi | Bluetooth 4.2,Touch Bar | Touch ID Sensor,4 x Thunderbolt 3 (USB Type-C) Ports,3.5mm Headphone Jack | Stereo Speakers,Larger Force Touch Trackpad,macOS Sierra,– ,https://macstores.vn/macbook-pro-mlw82-silver-99.html,macstores.vn
MacBook Pro MLW72 (silver) 99%,29.000.000 ,SSD: 256GB PCIe,Ram: 16GB of 2133 MHz,Đồ hoạ: AMD Radeon Pro 450 GPU (2GB GDDR5),Màn hình: 15.4″ 2880 x 1800 Retina Display,Điểm hiệu năng: 8.34 MS,802.11ac Wi-Fi | Bluetooth 4.2,Touch Bar | Touch ID Sensor,4 x Thunderbolt 3 (USB Type-C) Ports,3.5mm Headphone Jack | Stereo Speakers,Larger Force Touch Trackpad,macOS Sierra,https://macstores.vn/macbook-pro-mlw72-silver-99.html,macstores.vn
Macbook Pro MF840 2015 13 inch – (Core i5/Ram 8GB/SSD 256GB/Mới 98%),17.500.000 ,2.7 GHz Intel Core i5 (Broadwell),8GB of Onboard 1866 MHz LPDDR3 RAM,Integrated Intel Iris Graphics 6100,13.3″ LED-Backlit IPS Retina Display,2560 x 1600 Native Resolution,"802.11a/b/g/n/ac Wi-Fi, Bluetooth 4.0","Thunderbolt 2, USB 3.0, HDMI",Force Touch Trackpad,Mac OS X 10.10 Yosemite,"Bảo hành 06 tháng, đổi trả trong 7 ngày",Giảm 20% khi mua phụ kiện túi chống sốc và dán máy,https://macstores.vn/macbook-pro-retina-mf840-98.html,macstores.vn
Macbook MJLT2 2015/15 inch – (Core i7/Ram 16GB/SSD 512GB/98%),25.000.000 ,Ổ cứng SSD: 512 GB,RAM: 16 GB 1600MHz DDR3L,Graphics: Integrated Intel Iris Graphics + AMD Radeon R9 M370X with 2GB GDDR5 memory,Màn hình: 15.4″ inch RETINA,Điểm hiệu năng: 8.4MS,Độ Phân Giải : 2880 x 1800,"Cổng Mạng : 802.11ac Wi-Fi, Bluetooth 4.0","Khe Cắm : Thunderbolt 2, USB 3.0, HDMI","Thiết bị nghe nhìn : FaceTime HD Camera, Dual Mics",Force Touch Trackpad,Hệ điều hành : Mac OS X Yosimite,https://macstores.vn/macbook-pro-retina-mjlt2-98.html,macstores.vn
Mac Pro MJLT2 15 inch 2015 – (Core i7/Ram 16GB/SSD 512GB/99%),27.500.000 ,Ổ cứng SSD: 512 GB,RAM: 16 GB 1600MHz DDR3L,Graphics: Integrated Intel Iris Graphics + AMD Radeon R9 M370X with 2GB GDDR5 memory,Màn hình: 15.4″ inch RETINA,Điểm hiệu năng: 8.4MS,Độ Phân Giải : 2880 x 1800,"Cổng Mạng : 802.11ac Wi-Fi, Bluetooth 4.0","Khe Cắm : Thunderbolt 2, USB 3.0, HDMI","Thiết bị nghe nhìn : FaceTime HD Camera, Dual Mics",Force Touch Trackpad,Hệ điều hành : Mac OS X Yosimite,https://macstores.vn/macbook-pro-retina-mjlt2-option-2-2ghz512gb.html,macstores.vn
MJLQ2 Option – Macbook Pro 2015 15 inch – i7/16G/512GB – 98%,25.000.000 ,Ổ cứng SSD: 512GB,RAM: 16GB 1600MHz DDR3L,Graphics: Integrated Intel Iris Graphics,Màn hình Retina 15.4 inch. Độ phân giải : 2880 x 1800,Điểm hiệu năng: 5.84 MS,"Cổng Mạng : 802.11ac Wi-Fi, Bluetooth 4.0","Khe Cắm : Thunderbolt 2, USB 3.0, HDMI","Thiết bị nghe nhìn : FaceTime HD Camera, Dual Mics",Force Touch Trackpad,Hệ điều hành : Mac OS X Yosimite,"Bảo hành 6 tháng, đổi trả trong vòng 15 ngày",https://macstores.vn/macbook-pro-retina-mjlq2-97.html,macstores.vn
Macbook Pro Retina MD212 99%,,– Ổ cứng SSD: 128 GB,– RAM: 8 GB 1600MHz DDR3,– Graphics: Intel HD Graphics 4000,– Màn hình: 13 inch RETINA,– Độ Phân Giải : 2880 x 1800,"– Cổng Mạng : 802.11ac Wi-Fi, Bluetooth 4.0","– Khe Cắm : Thunderbolt 2, USB 3.0, HDMI","– Thiết bị nghe nhìn : FaceTime HD Camera, Dual Mics",– Hệ điều hành : Mac OS X Mavericks,– ,Giảm 20% khi mua phụ kiện túi chống sốc và dán máy,https://macstores.vn/macbook-pro-retina-md212.html,macstores.vn
Macbook Pro Retina MC975 99%,14.000.000 ,– Ổ cứng SSD: 256Gb,– Ram Option: 8GB of 1600 MHz DDR3,– Graphic: Intel HD Graphics 4000 + NVIDIA GeForce GT 650M 1GB GDDR5,,"– Màn hình: 15.4″, Độ phân giải 2880 x 1800 pixel","– Cổng Mạng : 802.11ac Wi-Fi, Bluetooth 4.0","– Khe Cắm : Thunderbolt 2, USB 3.0, HDMI","– Thiết bị nghe nhìn : FaceTime HD Camera, Dual Mics",– Hệ điều hành : Mac OS X Mavericks,– ,Giảm 20% khi mua phụ kiện túi chống sốc và dán máy,https://macstores.vn/macbook-pro-retina-mc975.html,macstores.vn
