name,price_sale,price,shipping,cpu,params_1,ram,rom,display,params_2,params_3,params_4,url,website
MR972 - Macbook Pro 15 inch 2018 - 6 Core I7 16GB 512GB SSD AMD PRO 560X 4GB- New 99%,38.500.000,38.500.000,Phí giao hàng: 0 đ,,,,,,,,,https://mac24h.vn/mr972-macbook-pro-15-inch-2018-6-core-i7-16gb-512gb-ssd-amd-pro-560x-4gb-new-99.html,mac24h.vn
MR942 - Macbook Pro 15 inch 2018 - 6 Core I7 32GB 512GB SSD New 99%,37.900.000,37.900.000,Phí giao hàng: 0 đ,,,,,,,,,https://mac24h.vn/mr942-macbook-pro-15-inch-2018-6-core-i7-32gb-512gb-ssd-new-99.html,mac24h.vn
"Macbook Pro 16 inch 2.6GHz 6-Core I7 512GB SSD Radeon Pro 5300M ( MVVJ2 , MVVL2 )",53.900.000,53.900.000,Phí giao hàng: 0 đ,2.6GHz 6-core 9th-generation Intel Core i7 processor,Turbo Boost up to 4.5GHz,16GB 2666MHz DDR4 memory,512GB SSD storage¹,16-inch Retina display with True Tone,Touch Bar and Touch ID,Four Thunderbolt 3 ports,,https://mac24h.vn/macbook-pro-16-inch-2.6ghz-6-core-512gb-ssd-radeon-pro-5300m.html,mac24h.vn
"Macbook Pro M1 13 inch 2020 - Apple M1 8-Core CPU / 8GB / 512GB SSD ( MYD92 , MYDC2 )",35.900.000,35.900.000,Phí giao hàng: 0 đ,"Apple M1 chip with 8-core CPU, 8-core GPU, and 16-core Neural Engine",Magic Keyboard,8GB unified memory,512GB SSD storage¹,13-inch Retina display with True Tone,Touch Bar and Touch ID,Force Touch trackpad,Two Thunderbolt / USB 4 ports,https://mac24h.vn/macbook-pro-13-inch-2020-apple-m1-8-core-cpu-8gb-512gb-ssd-myd92-mydc2.html,mac24h.vn
"【OPENBOX】Macbook Pro M1 13 inch 2020 - Apple M1 8-Core CPU / 8GB / 256GB SSD  ( MYD82 , MYDA2 )",25.990.000,25.990.000,Phí giao hàng: 0 đ,"Apple M1 chip with 8-core CPU, 8-core GPU, and 16-core Neural Engine",Magic Keyboard,8GB unified memory,256GB SSD storage¹,13-inch Retina display with True Tone,Touch Bar and Touch ID,Force Touch trackpad,Two Thunderbolt / USB 4 ports,https://mac24h.vn/openboxmacbook-pro-m1-13-inch-2020-apple-m1-8-core-cpu-8gb-256gb-ssd-myd82-myda2.html,mac24h.vn
"Macbook Pro M1 13 inch 2020 - Apple M1 8-Core CPU / 8GB / 256GB SSD  ( MYD82 , MYDA2 )",29.500.000,29.500.000,Phí giao hàng: 0 đ,"Apple M1 chip with 8-core CPU, 8-core GPU, and 16-core Neural Engine",Magic Keyboard,8GB unified memory ,256GB SSD storage¹ ,13-inch Retina display with True Tone,Touch Bar and Touch ID,Force Touch trackpad,Two Thunderbolt / USB 4 ports,https://mac24h.vn/macbook-pro-13-inch-2020-apple-m1-8-core-cpu-8gb-256gb-ssd.html,mac24h.vn
"Macbook Pro 16 inch 2.3GHz 8-Core I9 1TB SSD Radeon Pro 5500M ( MVVK2 , MVVM2 )",49.700.000,49.700.000,Phí giao hàng: 0 đ,2.3GHz 8-core 9th-generation Intel Core i9 processor,Turbo Boost up to 4.8GHz,16GB 2666MHz DDR4 memory,1TB SSD storage¹,16-inch Retina display with True Tone,Touch Bar and Touch ID,Four Thunderbolt 3 ports,,https://mac24h.vn/macbook-pro-16-inch-2.3ghz-8-core-1tb-ssd-radeon-pro-5500m.html,mac24h.vn
【CTO】Macbook Air M1 13 inch 2020 - Apple M1 8-Core CPU / 16GB / 256GB SSD,29.500.000,29.500.000,Phí giao hàng: 0 đ,"Apple M1 chip with 8‑core CPU, 7‑core GPU, and 16‑core Neural Engine",Magic Keyboard,16GB unified memory,256GB SSD storage¹,Retina display with True Tone,Touch ID,Force Touch trackpad,Two Thunderbolt / USB 4 ports,https://mac24h.vn/ctomacbook-air-13-inch-2020-apple-m1-8-core-cpu-16gb-256gb-ssd.html,mac24h.vn
【Sale New 99%】  Macbook Pro 16 inch 2.4GHz 8-Core I9 64GB  512GB SSD Radeon Pro 5500M 8GB,72.900.000,72.900.000,Phí giao hàng: 0 đ,"2.4GHz 8‑core 9th‑generation Intel Core i9 processor, Turbo Boost up to 4.8GHz",Four Thunderbolt 3 ports,AMD Radeon Pro 5500M with 8GB of GDDR6 memory,512GB SSD storage,16-inch Retina display with True Tone,Touch Bar and Touch ID,Backlit Keyboard - US English,Accessory Kit,https://mac24h.vn/sale-new-99-macbook-pro-16-inch-2.4ghz-8-core-i9-64gb-512gb-ssd-radeon-pro-5500m-8gb.html,mac24h.vn
"【OpenBox】Macbook Air M1 13 inch 2020 - Apple M1 8-Core CPU / 8GB / 256GB SSD    (MGN63,MGN93,MGND3 )",22.900.000,22.900.000,Phí giao hàng: 0 đ,"Apple M1 chip with 8‑core CPU, 7‑core GPU, and 16‑core Neural Engine",Magic Keyboard,8GB unified memory,256GB SSD storage¹,Retina display with True Tone,Touch ID,Force Touch trackpad,Two Thunderbolt / USB 4 ports,https://mac24h.vn/openboxmacbook-air-m1-13-inch-2020-apple-m1-8-core-cpu-8gb-256gb-ssd-mgn63-mgn93-mgnd3.html,mac24h.vn
【Used】 MR942 - Macbook Pro 15 inch 2018 - 6 Core I7 16GB 512GB SSD,35.700.000,35.700.000,Phí giao hàng: 0 đ,,,,,,,,,https://mac24h.vn/mr942-macbook-pro-15-inch-2018-6-core-i7-16gb-512gb-ssd-new-99.html,mac24h.vn
"【Used】 Macbook Pro 13 inch 2020 Quad Core I5 2.0Ghz 16GB 512GB (MWP42, MWP72)",31.800.000,31.800.000,Phí giao hàng: 0 đ,Intel Iris Plus Graphics,Turbo Boost up to 3.8GHz,16GB 3733MHz LPDDR4X memory,512GB SSD storage¹,13-inch Retina display with True Tone,Magic Keyboard,Touch Bar and Touch ID,Four Thunderbolt 3 ports,https://mac24h.vn/2nd-macbook-pro-13-inch-2020-quad-core-i5-2.0ghz-16gb-512gb-mwp42-mwp72.html,mac24h.vn
"【OPENBOX】 Macbook Pro M1 13 inch 2020 - Apple M1 8-Core CPU / 8GB / 512GB SSD ( MYD92 , MYDC2 )",29.900.000,29.900.000,Phí giao hàng: 0 đ,"Apple M1 chip with 8-core CPU, 8-core GPU, and 16-core Neural Engine",Magic Keyboard,8GB unified memory,512GB SSD storage¹,13-inch Retina display with True Tone,Touch Bar and Touch ID,Force Touch trackpad,Two Thunderbolt / USB 4 ports,https://mac24h.vn/macbook-pro-m1-13-inch-2020-apple-m1-8-core-cpu-8gb-512gb-ssd-myd92-mydc2-openbox.html,mac24h.vn
"【OpenBox】Macbook Pro 16 inch 2.6GHz 6-Core I7 512GB SSD Radeon Pro 5300M ( MVVJ2 , MVVL2 )",44.900.000,44.900.000,Phí giao hàng: 0 đ,2.6GHz 6-core 9th-generation Intel Core i7 processor,Turbo Boost up to 4.5GHz,16GB 2666MHz DDR4 memory,512GB SSD storage¹,16-inch Retina display with True Tone,Touch Bar and Touch ID,Four Thunderbolt 3 ports,,https://mac24h.vn/macbook-pro-16-inch-2.6ghz-6-core-i7-512gb-ssd-radeon-pro-5300m-mvvj2-mvvl2-openbox.html,mac24h.vn
"【New 99% 】Macbook Pro 16 inch 2.6GHz 6-Core I7 512GB SSD Radeon Pro 5300M ( MVVJ2 ,MVVL2)",42.700.000,42.700.000,Phí giao hàng: 0 đ,2.6GHz 6-core 9th-generation Intel Core i7 processor,Turbo Boost up to 4.5GHz,16GB 2666MHz DDR4 memory,512GB SSD storage¹,16-inch Retina display with True Tone,Touch Bar and Touch ID,Four Thunderbolt 3 ports,,https://mac24h.vn/usedmacbook-pro-16-inch-2.6ghz-6-core-i7-512gb-ssd-radeon-pro-5300m-mvvj2-mvvl2.html,mac24h.vn
【OPENBOX 】Macbook Air 2020 13 inch Core I5 8GB 512GB,22.900.000,22.900.000,Phí giao hàng: 0 đ,Intel Iris Plus Graphics & Retina display with True Tone,Turbo Boost up to 3.5GHz,8GB 3733MHz LPDDR4X memory,512GB SSD storage¹,,Magic Keyboard ,Touch ID,Force Touch trackpad,https://mac24h.vn/new-99-fullbox-macbook-air-2020-13-inch-core-i5-8gb-512gb-mvh52-gold.html,mac24h.vn
【OPENBOX】Macbook Air 2020 13 inch Core I3 8GB 256GB,19.900.000,19.900.000,Phí giao hàng: 0 đ,"Intel Iris Plus Graphics , Retina display with True Tone",Turbo Boost up to 3.2GHz,8GB 3733MHz LPDDR4X memory,256GB SSD storage¹,,Magic Keyboard,Touch ID,Force Touch trackpad,https://mac24h.vn/openboxmacbook-air-2020-13-inch-core-i3-8gb-256gb-mwtj2-mwtl2-mwtk2.html,mac24h.vn
"【OpenBox】 Macbook Pro 13 inch 2020 Quad Core I5 2.0Ghz 16GB 512GB (MWP42, MWP72)",33.700.000,33.700.000,Phí giao hàng: 0 đ,Intel Iris Plus Graphics,Turbo Boost up to 3.8GHz,16GB 3733MHz LPDDR4X memory,512GB SSD storage¹,13-inch Retina display with True Tone,Magic Keyboard,Touch Bar and Touch ID,Four Thunderbolt 3 ports,https://mac24h.vn/openbox-macbook-pro-13-inch-2020-quad-core-i5-2.0ghz-16gb-512gb-mwp42-mwp72.html,mac24h.vn
"【New - NoBox】Macbook Pro 16 inch 2.3GHz 8-Core I9 1TB SSD Radeon Pro 5500M ( MVVM2 ,MVVK2 )",49.700.000,49.700.000,Phí giao hàng: 0 đ,2.3GHz 8-core 9th-generation Intel Core i9 processor,Turbo Boost up to 4.8GHz,16GB 2666MHz DDR4 memory,1TB SSD storage¹,16-inch Retina display with True Tone,Touch Bar and Touch ID,Four Thunderbolt 3 ports,,https://mac24h.vn/new-noboxmacbook-pro-16-inch-2.3ghz-8-core-i9-1tb-ssd-radeon-pro-5500m-mvvk2-mvvm2.html,mac24h.vn
【CTO】Macbook Air M1 13 inch 2020 - Apple M1 8-Core CPU / 16GB / 512GB,35.700.000,35.700.000,Phí giao hàng: 0 đ,"Apple M1 chip with 8‑core CPU, 7‑core GPU, and 16‑core Neural Engine",Magic Keyboard,16GB unified memory,512GB SSD storage¹,Retina display with True Tone,Touch ID,Force Touch trackpad,Two Thunderbolt / USB 4 ports,https://mac24h.vn/ctomacbook-air-m1-13-inch-2020-apple-m1-8-core-cpu-16gb-512gb.html,mac24h.vn
