bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,,    Apple A12 Bionic 6 nhân,    7 MP,,https://www.viettablet.com/ipad-air-3,iPad Air 3 10.5 inch (2019) 64GB (Wifi) VN/A,    iOS 12,,,12.190.000,    3GB,    8 MP,    2224 x 1668 pixels,    64GB,,,,,,,,
,,    Apple A9,    1.2 MP,,https://www.viettablet.com/ipad-9.7-inch-32gb-2017-gen-5-wifi-cu-like-new-99,iPad 9.7 inch 32GB (2017) Gen 5 Wifi cũ like new 99%,"    iOS 10.3, upgradable to iOS 12.4",,,5.890.000,     2 GB,    8 MP,    1536 x 2048 pixels,     32 GB,,,,,,,,
,,    Apple A12X Bionic,    7 MP,,https://www.viettablet.com/ipad-pro-11-inch-2018-wifi-4g-4gb-64gb-cu-like-new-99,iPad Pro 11 inch (2018) 64GB Wifi / 4G  Cũ Like New 99%,"    iOS 12, upgradable to iOS 12.4",,,15.990.000,    4GB,     12 MP,    1668 x 2388 pixels,    64GB,,,,,,,,
,,    Apple A12 Bionic (7 nm),"    1.2 MP, f/2.2, 31mm (standard)",,https://www.viettablet.com/ipad-gen-8-2020-32gb,iPad Gen 8 10.2 inch (2020) 32GB (Wifi + 4G) VN/A,    iPadOS 14,,,11.590.000,    3GB,"    8 MP, f/2.4, 31mm",    1620 x 2160 pixel,     32 GB,,,,,,,,
,,    Apple A12 Bionic (7 nm),"    1.2 MP, f/2.2, 31mm (standard)",,https://www.viettablet.com/ipad-gen-8-10.2-inch-2020-32gb-wifi,iPad Gen 8 10.2 inch (2020) 32GB (Wifi) VN/A,    iPadOS 14,,,8.390.000,    3GB,"    8 MP, f/2.4, 31mm",    1620 x 2160 pixel,     32 GB,,,,,,,,
,,    Apple A10X Fusion,    7 MP,,https://www.viettablet.com/ipad-pro-10.5-inch-2017-wifi-4g-256gb-moi-fullbox,iPad Pro 10.5 inch 2017 (Wifi + 4G) 256GB Mới 100% FullBox,"    iOS 10.3.2, upgradable to iOS 12.4",,,15.990.000,    4GB,     12 MP,    1668 x 2224 pixels,    256GB,,,,,,,,
,,    Apple A10X Fusion,    7 MP,,https://www.viettablet.com/ipad-pro-10.5-inch-2017-wifi-4g-64gb-moi-fullbox,iPad Pro 10.5 inch 2017 (Wifi + 4G) 64GB Mới 100% FullBox,"    iOS 10.3.2, upgradable to iOS 12.4",,,14.990.000,    4GB,     12 MP,    1668 x 2224 pixels,    64GB,,,,,,,,
,,    Apple A12Z Bionic,"    7 MP, f/2.2",,https://www.viettablet.com/ipad-pro-11-inch-2020-wifi-6gb-128gb-cu,iPad Pro 11 inch (2020) Wifi/4G (6GB - 128GB) Cũ Like New 99%,    iPadOS 14,,,19.490.000,    6 GB,    3 ống kính,    1668 x 2388 pixels,     128 GB,,,,,,,,
,,    Apple A14 Bionic (5 nm),"    7 MP, f/2.0",,https://www.viettablet.com/ipad-air-4-2020-64gb-wifi,iPad Air 4 (2020) 64GB (Wifi) Chính Hãng VN,    iPadOS 14,,,14.990.000,,"    12 MP, f/1.8",    1640 x 2360,    64GB,,,,,,,,
,,    Apple A12 Bionic 6 nhân,    7.0 MP,,https://www.viettablet.com/ipad-mini-5-2019-256gb,iPad Mini 5 2019 256GB Wifi Mới 100%,    iOS 12,,,11.690.000,     3 GB,    8.0 MP,    2048 x 1536 Pixels,    256GB,,,,,,,,
