bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,,    Apple A12 Bionic 6 nhân,    7 MP,,https://www.viettablet.com/iphone-xs-max,iPhone XS Max 64GB (2 Sim Vật Lý),    iOS 12,,,23.000.000,    4GB,    12 MP,    1242 x 2688 pixels,    64 GB,    6.5 inch,,,,,,,
,,     Apple A13 (7 nm+),    12 MP,,https://www.viettablet.com/iphone-11-128gb-like-new-99,iPhone 11 128GB (Like New 99%),     IOS 13,,,13.190.000,    4GB,    2 Camera,     828 x 1792 pixels,     128 GB,     6.1 inches,,,,,,,
,,    Apple A12 Bionic 6 nhân,    7 MP,,https://www.viettablet.com/iphone-xs-max-512gb,iPhone XS Max 512GB 2 Sim,    iOS 12,,,27.990.000,    4GB,    2 camera 12 MP,     1242 x 2688 Pixels,    512 GB,    6.5 inch,,,,,,,
,,     Apple A13 (7 nm+),    12 MP,,https://www.viettablet.com/iphone-11-64gb,iPhone 11 64GB Mới 100% Full Box,     IOS 13,,,14.590.000,    4GB,    2 Camera,     828 x 1792 pixels,    64GB,     6.1 inches,,,,,,,
,,     Apple A13 (7 nm+),    12 MP,,https://www.viettablet.com/iphone-11-256gb-like-new-99,iPhone 11 256GB (Like New 99%),     IOS 13,,,14.590.000,    4GB,    2 Camera,     828 x 1792 pixels,    256 GB,     6.1 inches,,,,,,,
,,     Apple A13 (7 nm+),    12 MP,,https://www.viettablet.com/iphone-11-128gb-moi-100-full-box,iPhone 11 128GB Mới 100% Full Box,     IOS 13,,,16.990.000,    4GB,    2 Camera,     828 x 1792 pixels,    64GB,     6.1 inches,,,,,,,
,,     Apple A13 (7 nm+),    12 MP,,https://www.viettablet.com/iphone-11-128gb-my,iPhone 11 128GB,     IOS 13,,,17.590.000,    4GB,    2 Camera,     828 x 1792 pixels,    128GB,     6.1 inches,,,,,,,
,,     Apple A13 (7 nm+),    12 MP,,https://www.viettablet.com/iphone-11-256gb-ban-my,iPhone 11 256GB,     IOS 13,,,19.990.000,    4GB,    2 Camera,     828 x 1792 pixels,    256GB,     6.1 inches,,,,,,,
,,     Apple A13 (7 nm+),    12 MP,,https://www.viettablet.com/iphone-11-64gb-chua-active-tbh,iPhone 11 64GB Mới (Chưa Active - Trôi Bảo Hành) VN/A,     IOS 13,,,13.990.000,    4GB,    2 Camera,     828 x 1792 pixels,    64GB,     6.1 inches,,,,,,,
,,     Apple A13 (7 nm+),    12 MP,,https://www.viettablet.com/iphone-11-128gb-chua-active-tbh,iPhone 11 128GB Mới (Chưa Active - Trôi Bảo Hành) VN/A,     IOS 13,,,16.590.000,    4GB,    2 Camera,     828 x 1792 pixels,    128GB,     6.1 inches,,,,,,,
