bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,,Apple A13 Bionic,12MP,,https://didongthongminh.vn/iphone-11-pro-max-cu-64gb,iPhone 11 Pro Max cũ 64Gb Nguyên Bản,,,,"20,590,000 VNĐ",4 GB,Triple 12MP + 12MP + 12MP,,64 GB,6.5 inch OLED,,,,,,,
,,Apple A13 Bionic,12MP,,https://didongthongminh.vn/iphone-11-cu-64gb,iPhone 11 64GB Cũ Nguyên Bản,,,,"13,490,000 VNĐ",4 GB,Dual 12 MP,,64 GB,"IPS LCD , 6.1 inches",,,,,,,
,,Apple A13 Bionic,12MP,,https://didongthongminh.vn/iphone-11-pro-64gb-moi-tran-tbh-chua-active-eu,iPhone 11 Pro 64Gb Đã Kích Hoạt,,,,"17,590,000 VNĐ",4 GB,Triple 12MP + 12MP + 12MP,,64 GB,5.8 inch OLED,,,,,,,
,,Apple A12 Bionic,7.0 MP,,https://didongthongminh.vn/iphone-xs-max-64gb-cu-nguyen-ban,iPhone Xs Max Cũ 64GB Nguyên Bản,,,,"11,990,000 VNĐ",4 GB,Dual 12 MP,,64 GB,"6.5"" Super Retina HD",,,,,,,
,,Apple A10 Fusion,"7 MP, f/2.2, 32mm",,https://didongthongminh.vn/iphone-7-plus-32gb-cu-nguyen-ban,iPhone 7 Plus Cũ 32Gb Nguyên Bản,,,,"5,790,000 VNĐ",3 GB,Dual 12 MP,,32 GB,"IPS LCD, 5.5"", Full HD",,,,,,,
,,Apple A12 Bionic,7.0 MP,,https://didongthongminh.vn/iphone-xs-64gb-cu-dep-nhu-moi,iPhone XS Cũ 64Gb Nguyên Bản,,,,"9,690,000 VNĐ",4 GB,Dual 12 MP,,64 GB,"5.8"" Super Retina HD",,,,,,,
,,Apple A11 Bionic,7.0 MP,,https://didongthongminh.vn/iphone-8-64gb-cu,iPhone 8 Cũ 64Gb Nguyên Bản,,,,"4,590,000 VNĐ",2 GB,12 MP,,64 GB,"IPS LCD, 4.7"", qHD",,,,,,,
,,Apple A11 Bionic,7.0 MP,,https://didongthongminh.vn/iphone-8-plus-cu-p2372,iPhone 8 Plus Cũ 64Gb Nguyên Bản,,,,"6,990,000 VNĐ",3 GB,Dual 12 MP,,64 GB,"IPS LCD, 5.5"", Retina HD",,,,,,,
,,Apple A10 Fusion,7.0 MP,,https://didongthongminh.vn/iphone-7-cu-32gb-nguyen-ban,iPhone 7 32Gb Cũ Nguyên Bản,,,,"3,390,000 VNĐ",2 GB,12 MP,,32 GB,"IPS LCD, 4.7"", HD",,,,,,,
,,,,,https://didongthongminh.vn/iphone-13,iPhone 13,,,,0 VNĐ,6 GB,Camera chính 12MP,,128 GB,Đang cập nhật,,,,,,,
,,,,,https://didongthongminh.vn/iphone-12-pro-max-128gb-chinh-hang-vn-a,iPhone 13 Pro Max,,,,0 VNĐ,6 GB,Camera chính 12MP,,128 GB,Super Retina XDR OLED 6.7 inch,,,,,,,
,,Apple A14 Bionic,,,https://didongthongminh.vn/iphone-12-256gb-chinh-hang-vn-a,iPhone 12 256GB Chính Hãng VN/A,,,,"23,890,000 VNĐ",4 GB,,,256 GB,Super Retina XDR OLED 6.1 inch,,,,,,,
,,Apple A14 Bionic,,,https://didongthongminh.vn/iphone-12-pro-512gb-chinh-hang-vn-a,iPhone 12 Pro 512GB Chính Hãng VN/A,,,,"33,590,000 VNĐ",6 GB,,,512 GB,Super Retina XDR OLED 6.1 inch,,,,,,,
,,Apple A13 Bionic,12MP,,https://didongthongminh.vn/iphone-11-256gb-chinh-hang-vn-a,iPhone 11 256GB Chính Hãng VN/A,,,,"19,690,000 VNĐ",4 GB,Dual 12 MP,,256 GB,"IPS LCD , 6.1 inches",,,,,,,
,,Apple A13 Bionic,7.0 MP,,https://didongthongminh.vn/iphone-se-2020,iPhone SE 64GB 2020 Chính Hãng VN/A,,,,"10,990,000 VNĐ",3GB,12 MP,,64 GB,"IPS LCD 4,7"" HD+",,,,,,,
